Version	ATC-Code	ATC-Bedeutung	DDD-Info
2025	A01AD22	Milchsäure	
2025	A01AD50	Andere Mittel zur oralen Lokalbehandlung, Kombinationen	
2025	A01AD65	Dexpanthenol, Kombinationen	
2025	A01AD69	Mineralsalz, Kombinationen	
2025	A01AD71	Salicylate, Kombinationen	
2025	A01AD72	Speichelersatzlösungen	
2025	A01AE  	Lokalanästhetika für die orale Lokalbehandlung	
2025	A01AE01	Lidocain	
2025	A01AE02	Tetracain	
2025	A01AE05	Polidocanol (Lauromacrogol 400)	
2025	A01AE51	Lidocain, Kombinationen	
2025	A01AE52	Tetracain, Kombinationen	
2025	A01AE53	Benzocain, Kombinationen	
2025	A01AE54	Propipocain, Kombinationen	
2025	A01AE55	Polidocanol (Lauromacrogol 400), Kombinationen	
2025	A01AH  	Homöopathische und anthroposophische Stomatologika	
2025	A01AH20	Kombinationen	
2025	A01AP  	Pflanzliche Stomatologika	
2025	A01AP01	Myrrhentinktur	
2025	A01AP02	Kamillenblüten	
2025	A01AP03	Salbeiblätter	
2025	A01AP10	Verschiedene	
2025	A01AP30	Kombinationen	
2025	A01AP50	Andere pflanzliche Stomatologika, Kombinationen	
2025	A01AP52	Kamillenblüten, Kombinationen	
2025	A02    	MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN	
2025	A02A   	ANTACIDA	
2025	A02AA  	Magnesium-haltige Verbindungen	
2025	A02AA01	Magnesiumcarbonat	
2025	A02AA02	Magnesiumoxid	
2025	A02AA03	Magnesiumperoxid	
2025	A02AA04	Magnesiumhydroxid	3 g O
2025	A02AA05	Magnesiumsilikat	
2025	A02AA10	Kombinationen	
2025	A02AB  	Aluminium-haltige Verbindungen	
2025	A02AB01	Aluminiumhydroxid	
2025	A02AB02	Algeldrat	5 g O
2025	A02AB03	Aluminiumphosphat	
2025	A02AB04	Dihydroxyaluminiumnatriumcarbonat (Carbaldrat)**	4 g O
2025	A02AB05	Aluminiumacetoacetat	
2025	A02AB06	Aloglutamol	
2025	A02AB07	Aluminiumglycinat	
2025	A02AB10	Kombinationen	
2025	A02AC  	Calcium-haltige Verbindungen	
2025	A02AC01	Calciumcarbonat	
2025	A02AC02	Calciumsilikat	6 g O
2025	A02AC10	Kombinationen	
2025	A02AD  	Kombinationen und Komplexe von Aluminium-, Calcium- und Magnesium-haltigen Verbindungen	
2025	A02AD01	Einfache Salzkombinationen**	Standarddosis: 10 Tabletten oder 50 ml Mixtur
2025	A02AD02	Magaldrat	3,2 g O 
2025	A02AD03	Almagat	
2025	A02AD04	Hydrotalcit	3,5 g O 
2025	A02AD05	Almasilat	4 g O 
2025	A02AD06	Simaldrat	5 g O 
2025	A02AD10	Aluminiumoxid in Kombination mit Magnesiumhydroxid	
2025	A02AF  	Antacida mit Karminativa	
2025	A02AF01	Magaldrat und Karminativa	
2025	A02AF02	Einfache Salzkombinationen und Karminativa	
2025	A02AF03	Dihydroxyaluminiumnatriumcarbonat und Karminativa	
2025	A02AF04	Simaldrat und Karminativa	
2025	A02AF05	Aluminiumhydroxid und Karminativa	
2025	A02AG  	Antacida mit Spasmolytika	
2025	A02AG01	Antacida, Kombinationen mit Butinolin	
2025	A02AG02	Antacida, Kombinationen mit Atropin	
2025	A02AG20	Antacida, Kombinationen mit mehreren Spasmolytika	
2025	A02AH  	Antacida mit Natriumbicarbonat	
2025	A02AH01	Natriumhydrogencarbonat	
2025	A02AH20	Kombinationen	
2025	A02AX  	Antacida, andere Kombinationen	
2025	A02AX01	Antacida, Kombinationen mit Bismutsalzen	
2025	A02AX02	Antacida, Kombinationen mit Lokalanästhetika	
2025	A02AX04	Antacida, Kombinationen mit Schwefel	
2025	A02AX50	Antacida, andere Kombinationen	
2025	A02B   	MITTEL BEI PEPTISCHEM ULKUS UND GASTROOESOPHAGEALER REFLUXKRANKHEIT (GERD)	
2025	A02BA  	Histamin-H2-Rezeptorantagonisten	
2025	A02BA01	Cimetidin	0,8 g O,P
2025	A02BA02	Ranitidin	0,3 g O,P
2025	A02BA03	Famotidin	40 mg O,P
2025	A02BA04	Nizatidin	0,3 g O,P
2025	A02BA05	Niperotidin	
2025	A02BA06	Roxatidin	0,15 g O
2025	A02BA07	Ranitidinbismutcitrat	0,8 g O
2025	A02BA08	Lafutidin	20 mg O
2025	A02BA51	Cimetidin, Kombinationen	
2025	A02BA53	Famotidin, Kombinationen	
2025	A02BB  	Prostaglandine	
2025	A02BB01	Misoprostol	0,8 mg O
2025	A02BB02	Enprostil	70 mcg O
2025	A02BC  	Protonenpumpenhemmer**	
2025	A02BC01	Omeprazol	20 mg O,P
2025	A02BC02	Pantoprazol	40 mg O,P; 20 mg O,P 
2025	A02BC03	Lansoprazol	30 mg O; 15 mg O 
2025	A02BC04	Rabeprazol	20 mg O; 10 mg O,P 
2025	A02BC05	Esomeprazol	30 mg O,P; 20 mg O,P 
2025	A02BC06	Dexlansoprazol	30 mg O
2025	A02BC07	Dexrabeprazol	
2025	A02BC08	Vonoprazan	
2025	A02BC09	Tegoprazan	
2025	A02BC10	Fexuprazan	
2025	A02BC11	Ilaprazol	
2025	A02BC51	Omeprazol, Kombinationen	
2025	A02BC53	Lansoprazol, Kombinationen	
2025	A02BC54	Rabeprazol, Kombinationen	
2025	A02BD  	Kombinationen zur Eradikation von Helicobacter pylori	
2025	A02BD01	Omeprazol, Amoxicillin und Metronidazol	
2025	A02BD02	Lansoprazol, Tetracyclin und Metronidazol	
2025	A02BD03	Lansoprazol, Amoxicillin und Metronidazol	
2025	A02BD04	Pantoprazol, Amoxicillin und Clarithromycin	Kombinationspackung: 6 DE O 
2025	A02BD05	Omeprazol, Amoxicillin und Clarithromycin	Kombinationspackung: 6 DE O 
2025	A02BD06	Esomeprazol, Amoxicillin und Clarithromycin	
2025	A02BD07	Lansoprazol, Amoxicillin und Clarithromycin	
2025	A02BD08	Bismutsubcitrat, Tetracyclin und Metronidazol	Kombinationspackung: 12 DE O 
2025	A02BD09	Lansoprazol, Clarithromycin und Tinidazol	
2025	A02BD10	Lansoprazol, Amoxicillin und Levofloxacin	
2025	A02BD11	Pantoprazol, Amoxicillin, Clarithromycin und Metronidazol	
2025	A02BD12	Rabeprazol, Amoxicillin und Clarithromycin	
2025	A02BD13	Rabeprazol, Amoxicillin und Metronidazol	
2025	A02BD14	Vonoprazan, Amoxicillin und Clarithromycin	
2025	A02BD15	Vonoprazan, Amoxicillin und Metronidazol	
2025	A02BD16	Omeprazol, Amoxicillin und Rifabutin	
2025	A02BD17	Vonoprazan und Amoxicillin	
2025	A02BX  	Andere Mittel bei peptischem Ulkus und gastrooesophagealer Refluxkrankheit	
2025	A02BX01	Carbenoxolon	0,15 g O
2025	A02BX02	Sucralfat	4 g O
2025	A02BX03	Pirenzepin	0,1 g O; 20 mg P
2025	A02BX04	Methiosulfoniumchlorid	
2025	A02BX05	Bismutsubcitrat	0,48 g O
2025	A02BX06	Proglumid	1,2 g O
2025	A02BX07	Gefarnat	
2025	A02BX08	Sulglicotid	
2025	A02BX09	Acetoxolon	
2025	A02BX10	Zolimidin	
2025	A02BX11	Troxipid	
2025	A02BX12	Bismutsubnitrat	
2025	A02BX13	Alginsäure	
2025	A02BX14	Rebamipid	0,3 g O
2025	A02BX15	Teprenon	
2025	A02BX16	Irsogladin	
2025	A02BX17	Bismut(III)-citrat-hydroxid-Komplex	
2025	A02BX18	Dibismut-tris(tetraoxodialuminat)	
2025	A02BX22	Bismutsubsalicylat	
2025	A02BX23	Silbereiweiß-Acetyltannat	
2025	A02BX50	Andere Ulkustherapeutika, Kombinationen exkl. Psycholeptika	
2025	A02BX51	Carbenoxolon, Kombinationen exkl. Psycholeptika	
2025	A02BX62	Bismutsubnitrat, Kombinationen exkl. Psycholeptika	
2025	A02BX63	Alginsäure, Kombinationen	Standarddosis: 10 Tabletten oder 50 ml Mixtur O 
2025	A02BX70	Andere Ulkustherapeutika, Kombinationen mit Psycholeptika	
2025	A02BX71	Carbenoxolon, Kombinationen mit Psycholeptika	
2025	A02BX77	Gefarnat, Kombinationen mit Psycholeptika	
2025	A02X   	ANDERE MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN	
2025	A02XA  	Andere Mittel bei Säure bedingten Erkrankungen	
2025	A02XA01	Kälberblutextrakt	
2025	A02XA03	Guajazulen	
2025	A02XA52	Benzocain, Kombinationen	
2025	A02XA53	Guajazulen, Kombinationen	
2025	A02XH  	Andere homöopathische und anthroposophische Mittel bei Säure bedingten Erkrankungen	
2025	A02XH01	Nux vomica	
2025	A02XH20	Kombinationen	
2025	A02XH50	Kombinationen mit anderen Mitteln	
2025	A02XP  	Andere pflanzliche Mittel bei Säure bedingten Erkrankungen	
2025	A02XP30	Kombinationen	
2025	A03    	MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN	
2025	A03A   	MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN	
2025	A03AA  	Synthetische Anticholinergika, Ester mit tertiären Aminogruppen	
2025	A03AA01	Oxyphencyclimin	20 mg O
2025	A03AA03	Camylofin	0,2 g O,R
2025	A03AA04	Mebeverin	0,3 g O; 0,4 g O 
2025	A03AA05	Trimebutin	0,6 g O
2025	A03AA06	Rociverin	
2025	A03AA07	Dicycloverin	80 mg O,P
2025	A03AA08	Dihexyverin	
2025	A03AA09	Difemerin	
2025	A03AA30	Piperidolat	
2025	A03AA31	Phenamazid	
2025	A03AB  	Synthetische Anticholinergika, quartäre Ammonium-Verbindungen	
2025	A03AB01	Benzilon	70 mg O
2025	A03AB02	Glycopyrroniumbromid	3 mg O bezogen auf Glycopyrronium; 0,3 mg P; 3 mg R
2025	A03AB03	Oxyphenonium	25 mg O
2025	A03AB04	Penthienat	15 mg O
2025	A03AB05	Propanthelin	60 mg O,P
2025	A03AB06	Otiloniumbromid	
2025	A03AB07	Methanthelinium	0,15 g O
2025	A03AB08	Tridihexethyl	0,125 g O
2025	A03AB09	Isopropamid	10 mg O
2025	A03AB10	Hexocyclium	0,15 g O
2025	A03AB11	Poldin	12 mg O
2025	A03AB12	Mepenzolat	0,1 g O
2025	A03AB13	Bevonium	0,2 g O
2025	A03AB14	Pipenzolat	20 mg O
2025	A03AB15	Diphemanil	
2025	A03AB16	(2-Benzhydryloxyethyl)diethylmethylammoniumiodid	0,3 g O
2025	A03AB17	Tiemoniumiodid	
2025	A03AB18	Prifiniumbromid	
2025	A03AB19	Timepidiumbromid	
2025	A03AB20	Trospium	
2025	A03AB21	Fenpiverinium	
2025	A03AB53	Oxyphenonium, Kombinationen	
2025	A03AC  	Synthetische Spasmolytika, Amide mit tertiären Aminen	
2025	A03AC02	Dimethylaminopropionylphenothiazin	
2025	A03AC04	Nicofetamid	
2025	A03AC05	Tiropramid	
2025	A03AD  	Papaverin und Derivate	
2025	A03AD01	Papaverin	0,1 g O,P
2025	A03AD02	Drotaverin	0,1 g O,P
2025	A03AD30	Moxaverin	50 mg O
2025	A03AE  	Serotonin-Rezeptorantagonisten	
2025	A03AE01	Alosetron	1 mg O
2025	A03AE03	Cilansetron	
2025	A03AH  	Andere homöopathische und anthroposophische Mittel bei funktionellen gastrointestinalen Störungen	
2025	A03AH01	Carum Carvi	
2025	A03AH10	Verschiedene	
2025	A03AH20	Kombinationen	
2025	A03AP  	Andere pflanzliche Mittel bei funktionellen gastrointestinalen Störungen	
2025	A03AP01	Pfefferminzblätter	
2025	A03AP02	Kamillenblüten	
2025	A03AP03	Fenchelfrüchte	
2025	A03AP04	Melissenblätter	
2025	A03AP11	Sonstige	
2025	A03AP30	Kombinationen	
2025	A03AX  	Andere Mittel bei funktionellen gastrointestinalen Störungen	
2025	A03AX01	Fenpipran	
2025	A03AX02	Diisopromin	
2025	A03AX03	Chlorbenzoxamin	0,15 g O
2025	A03AX04	Pinaverium	0,15 g O
2025	A03AX05	Fenoverin	
2025	A03AX06	Idanpramin	
2025	A03AX07	Proxazol	
2025	A03AX08	Alverin	
2025	A03AX09	Trepibuton	
2025	A03AX10	Isomethepten	
2025	A03AX11	Caroverin	
2025	A03AX12	Phloroglucinol	
2025	A03AX13	Silikone	0,5 g O
2025	A03AX14	Valethamat	
2025	A03AX15	Menthae piperitae aetheroleum*	
2025	A03AX20	Kombinationen	
2025	A03AX30	Trimethyldiphenylpropylamin	50 mg O,P
2025	A03AX31	Pramiverin	
2025	A03AX32	Denaverin	
2025	A03AX33	Dipiproverin	
2025	A03AX34	Cholinsalze	
2025	A03AX50	Andere Mittel bei funktionellen gastrointestinalen Störungen, Kombinationen
2025	A03AX58	Alverin, Kombinationen	
2025	A03AX63	Silikone, Kombinationen	
2025	A03B   	BELLADONNA UND DERIVATE, REIN	
2025	A03BA  	Belladonna-Alkaloide, tertiäre Amine	
2025	A03BA01	Atropin	1,5 mg O,P
2025	A03BA03	Hyoscyamin	1,2 mg O
2025	A03BA04	Belladonna-Gesamtalkaloide	1 mg O
2025	A03BA20	Kombinationen	
2025	A03BB  	Belladonna-Alkaloide, halbsynthetisch, quartäre Ammonium-Verbindungen	
2025	A03BB01	Butylscopolamin	60 mg O,P,R
2025	A03BB02	Methylatropin	3 mg O
2025	A03BB03	Methylscopolamin	12 mg O,P
2025	A03BB04	Fentonium	60 mg O
2025	A03BB05	Cimetropiumbromid	
2025	A03BB06	Homatropinmethylbromid	
2025	A03C   	SPASMOLYTIKA IN KOMBINATION MIT PSYCHOLEPTIKA	
2025	A03CA  	Synthetische Anticholinergika in Kombination mit Psycholeptika	
2025	A03CA01	Isopropamid und Psycholeptika	
2025	A03CA02	Clidinium und Psycholeptika	
2025	A03CA03	Oxyphencyclimin und Psycholeptika	
2025	A03CA04	Otiloniumbromid und Psycholeptika	
2025	A03CA05	Glycopyrroniumbromid und Psycholeptika	
2025	A03CA06	Bevonium und Psycholeptika	
2025	A03CA07	Ambutonium und Psycholeptika	
2025	A03CA08	Diphemanil und Psycholeptika	
2025	A03CA09	Pipenzolat und Psycholeptika	
2025	A03CA30	Emepronium und Psycholeptika	
2025	A03CA34	Propanthelin und Psycholeptika	
2025	A03CA39	Moxaverin und Psycholeptika	
2025	A03CA42	Tridihexethyl und Psycholeptika	
2025	A03CA43	Benactyzin und Psycholeptika	
2025	A03CB  	Belladonna und Derivate in Kombination mit Psycholeptika	
2025	A03CB01	Methylscopolamin und Psycholeptika	
2025	A03CB02	Belladonna-Gesamtalkaloide und Psycholeptika	
2025	A03CB03	Atropin und Psycholeptika	
2025	A03CB04	Homatropinmethylbromid und Psycholeptika	
2025	A03CB31	Hyoscyamin und Psycholeptika	
2025	A03CB37	Xenytropiumbromid und Psycholeptika	
2025	A03CB38	Butylscopolamin und Psycholeptika	
2025	A03CC  	Andere Spasmolytika in Kombination mit Psycholeptika	
2025	A03D   	SPASMOLYTIKA IN KOMBINATION MIT ANALGETIKA	
2025	A03DA  	Synthetische Anticholinergika in Kombination mit Analgetika	
2025	A03DA01	Tropenzilon und Analgetika	
2025	A03DA02	Pitofenon und Analgetika	
2025	A03DA03	Bevonium und Analgetika	
2025	A03DA04	Ciclonium und Analgetika	
2025	A03DA05	Camylofin und Analgetika	
2025	A03DA06	Trospium und Analgetika	
2025	A03DA07	Tiemoniumiodid und Analgetika	
2025	A03DA08	Barverin und Analgetika	
2025	A03DA09	Ambucetamid und Analgetika	
2025	A03DA12	Drofenin und Analgetika	
2025	A03DB  	Belladonna und Derivate in Kombination mit Analgetika	
2025	A03DB04	Butylscopolamin und Analgetika	
2025	A03DC  	Andere Spasmolytika in Kombination mit Analgetika	
2025	A03DC02	Tropinbenzilat und Analgetika	
2025	A03DC04	Pramiverin und Analgetika	
2025	A03DC05	Ethaverin und Analgetika	
2025	A03E   	SPASMOLYTIKA UND ANTICHOLINERGIKA IN KOMBINATION MIT ANDEREN MITTELN	
2025	A03EA  	Spasmolytika, Psycholeptika und Analgetika in Kombination	
2025	A03EA01	Ciclonium, Kombinationen	
2025	A03EA02	Butylscopolamin, Kombinationen	
2025	A03EA03	Tropinbenzilat, Kombinationen	
2025	A03EA04	Trospiumchlorid, Kombinationen	
2025	A03EA05	Drofenin, Kombinationen	
2025	A03EA06	Ethaverin, Kombinationen	
2025	A03EA40	Fencarbamid, Kombinationen	
2025	A03ED  	Spasmolytika in Kombination mit anderen Mitteln	
2025	A03ED01	Benzylmandelat in Kombination mit anderen Mitteln	
2025	A03ED02	Ethaverin in Kombination mit anderen Mitteln	
2025	A03ED04	Butinolin in Kombination mit anderen Mitteln	
2025	A03F   	PROKINETIKA	
2025	A03FA  	Prokinetika	
2025	A03FA01	Metoclopramid	30 mg O,P,R
2025	A03FA02	Cisaprid	30 mg O,R
2025	A03FA03	Domperidon	30 mg O,P; 0,12 g R
2025	A03FA04	Bromoprid	20 mg O,P
2025	A03FA05	Alizaprid	0,15 g O,P
2025	A03FA06	Cleboprid	
2025	A03FA07	Itoprid	0,15 g O
2025	A03FA08	Cinitaprid	
2025	A03FA09	Mosaprid	
2025	A03FA10	Acotiamid	
2025	A03FA13	Dexpanthenol	
2025	A03FA51	Metoclopramid, Kombinationen	
2025	A03FA54	Bromoprid, Kombinationen	
2025	A03FP  	Pflanzliche Prokinetika	
2025	A03FP30	Kombinationen	
2025	A03H   	ANDERE HOMÖOPATHISCHE UND ANTHROPOSOPHISCHE ZUBEREITUNGEN	
2025	A03HH  	Homöopathische und anthroposophische Spasmolytika	
2025	A03HH10	Verschiedene	
2025	A03HH20	Kombinationen	
2025	A03P   	ANDERE PFLANZLICHE ZUBEREITUNGEN	
2025	A03PP  	Pflanzliche Spasmolytika	
2025	A03PP01	Mohnkapsel	
2025	A03PP02	Schöllkraut	3,5 g O Droge; 21 mg O Gesamtalkaloide, berechnet als Chelidonin 
2025	A03PP03	Boldoblätter	
2025	A04    	ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT	
2025	A04A   	ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT	
2025	A04AA  	Serotonin-5HT3-Rezeptorantagonisten	
2025	A04AA01	Ondansetron	16 mg O,P,R
2025	A04AA02	Granisetron	2 mg O; 3 mg P; 3,1 mg TD Pflaster bezogen auf die Freisetzungsrate pro 24 Stunden
2025	A04AA03	Tropisetron	5 mg O,P
2025	A04AA04	Dolasetron	0,2 g O; 0,1 g P
2025	A04AA05	Palonosetron	0,5 mg O; 0,25 mg P
2025	A04AA55	Palonosetron, Kombinationen	0,5 mg O bezogen auf Palonosetron; 0,25 mg P bezogen auf Palonosetron 
2025	A04AB  	Antihistaminika	
2025	A04AB02	Dimenhydrinat	0,275 g O; 0,2 g R 
2025	A04AB03	Thiethylperazin	
2025	A04AB04	Meclozin	37,5 mg O; 50 mg R 
2025	A04AB05	Diphenhydramin	
2025	A04AB52	Dimenhydrinat, Kombinationen	
2025	A04AB54	Meclozin, Kombinationen	37,5 mg O bezogen auf Meclozin; 50 mg R bezogen auf Meclozin 
2025	A04AB55	Diphenhydramin, Kombinationen	
2025	A04AB56	Doxylamin, Kombinationen	
2025	A04AB57	Chlorphenoxamin, Kombinationen	
2025	A04AB58	Promethazin, Kombinationen	
2025	A04AD  	Andere Antiemetika	
2025	A04AD01	Scopolamin	
2025	A04AD02	Ceriumoxalat	
2025	A04AD04	Chlorbutanol	
2025	A04AD05	Metopimazin	15 mg O,P
2025	A04AD06	Triflupromazin	
2025	A04AD08	Chlorphenethazin	
2025	A04AD10	Dronabinol	
2025	A04AD11	Nabilon	3 mg O
2025	A04AD12	Aprepitant, Fosaprepitant	165 mg O Eindosisbehandlung; 150 mg P bezogen auf Fosaprepitant; 95 mg O; 60 mg O Kinder DDD
2025	A04AD13	Casopitant	
2025	A04AD14	Rolapitant	0,18 g O Eindosisbehandlung
2025	A04AD50	Andere Antiemetika, Kombinationen	
2025	A04AD51	Scopolamin, Kombinationen	
2025	A04AD54	Chlorbutanol, Kombinationen	
2025	A04AH  	Homöopathische und anthroposophische Antiemetika	
2025	A04AH10	Verschiedene homöopathische und anthroposophische Antiemetika	
2025	A04AH20	Kombinationen	
2025	A04AP  	Pflanzliche Antiemetika	
2025	A04AP01	Ingwerwurzelstock	
2025	A05    	GALLEN- UND LEBERTHERAPIE	
2025	A05A   	GALLENTHERAPIE	
2025	A05AA  	Gallensäuren und Derivate	
2025	A05AA01	Chenodeoxycholsäure	1 g O
2025	A05AA02	Ursodeoxycholsäure	0,75 g O
2025	A05AA03	Cholsäure	0,25 g O Kinder DDD 
2025	A05AA04	Obeticholsäure	10 mg O
2025	A05AA05	Ursodoxicoltaurin	
2025	A05AA06	Norucholsäure	
2025	A05AA11	Dehydrocholsäure	
2025	A05AA12	Gesamtgallensäuren (Fel tauri)	
2025	A05AA20	Kombinationen	
2025	A05AA62	Gesamtgallensäuren, Kombinationen	
2025	A05AA66	Dehydrocholsäure, Kombinationen	
2025	A05AB  	Zubereitungen zur Gallentherapie	
2025	A05AB01	N-(Hydroxymethyl)nicotinamid	
2025	A05AB20	Kombinationen	
2025	A05AC  	Gallentherapeutika in Kombination	
2025	A05AC01	Gallentherapeutika in Kombination mit Spasmolytika	
2025	A05AH  	Homöopathische und anthroposophische Mittel zur Gallentherapie	
2025	A05AH20	Kombinationen	
2025	A05AP  	Pflanzliche Mittel zur Gallentherapie	
2025	A05AP01	Schwarzrettichwurzel	
2025	A05AP03	Artischockenblätter	6 g O Droge; 30 g O Frischpflanze 
2025	A05AP04	Erdrauchkraut	
2025	A05AP05	Pfefferminzöl	
2025	A05AP06	Löwenzahnwurzel mit -kraut	
2025	A05AP07	Curcumawurzelstock	2 g O Javanische Gelbwurz; 2,25 g O Curcumawurzelstock 
2025	A05AP08	Glockenbilsenkrautwurzelstock	
2025	A05AP09	Gundelrebenkraut	
2025	A05AP10	Verschiedene	
2025	A05AP30	Kombinationen	
2025	A05AX  	Andere Mittel zur Gallentherapie	
2025	A05AX01	Piprozolin	
2025	A05AX02	Hymecromon	1 g O 
2025	A05AX03	Cyclobutyrol	
2025	A05AX04	Maralixibatchlorid	28,5 mg O 
2025	A05AX05	Odevixibat	2,4 mg O 
2025	A05AX06	Elafibranor	80 mg O 
2025	A05AX07	Seladelpar	10 mg O 
2025	A05AX08	Linerixibat	
2025	A05AX09	Febuprol	
2025	A05AX11	Fenipentol	
2025	A05AX12	Glyceroltrinitrat	
2025	A05AX50	Andere Mittel zur Gallentherapie, Kombinationen	
2025	A05B   	LEBERTHERAPIE, LIPOTROPE SUBSTANZEN	
2025	A05BA  	Lebertherapie	
2025	A05BA01	Argininglutamat	
2025	A05BA03	Silymarin*	
2025	A05BA04	Citiolon	
2025	A05BA05	Epomediol	
2025	A05BA06	Ornithinoxoglurat	
2025	A05BA07	Tidiacicarginin	
2025	A05BA08	Glycyrrhizinsäure	
2025	A05BA09	Metadoxin	
2025	A05BA10	Phospholipide*	
2025	A05BA11	Resmetirom	
2025	A05BA12	Myo-Inositol	
2025	A05BA17	Ornithinaspartat	
2025	A05BA18	Cianidanol	
2025	A05BA19	Cholin	
2025	A05BA22	Methionin und N-Acetylmethionin	
2025	A05BA50	Andere Lebertherapeutika, Kombinationen	
2025	A05BA63	Cyanocobalamin, Kombinationen	
2025	A05BA66	Leucin, Kombinationen	
2025	A05BA67	Ornithinaspartat, Kombinationen	
2025	A05BA69	Cholin, Kombinationen	
2025	A05BA71	Laevulose, Kombinationen	
2025	A05BA72	Betain, Kombinationen	
2025	A05BH  	Homöopathische und anthroposophische Mittel zur Lebertherapie	
2025	A05BH01	Mariendistelfrüchte	
2025	A05BH10	Verschiedene	
2025	A05BH20	Kombinationen	
2025	A05BP  	Pflanzliche Mittel zur Lebertherapie	
2025	A05BP01	Mariendistelfrüchte	13,5 g O Droge; 0,3 g O bezogen auf Silymarin 
2025	A05BP02	Phospholipide	
2025	A05BP51	Mariendistelfrüchte, Kombinationen	
2025	A05C   	MITTEL ZUR GALLENTHERAPIE UND LIPOTROPE SUBSTANZEN IN KOMBINATION	
2025	A06    	MITTEL GEGEN OBSTIPATION	
2025	A06A   	MITTEL GEGEN OBSTIPATION	
2025	A06AA  	Gleitmittel, Emollientia	
2025	A06AA01	Dickflüssiges Paraffin	15 g O
2025	A06AA02	Docusat-Natrium	0,15 g O
2025	A06AA03	Dünnflüssiges Paraffin	
2025	A06AA51	Dickflüssiges Paraffin, Kombinationen	
2025	A06AB  	Kontaktlaxanzien	
2025	A06AB01	Oxyphenisatin	10 mg O
2025	A06AB02	Bisacodyl	10 mg O,R
2025	A06AB03	Dantron	50 mg O
2025	A06AB04	Phenolphthalein	0,2 g O
2025	A06AB05	Rizinusöl	20 g O
